source_id,target_id,distance
11,96,746.719690
11,97,810.015292
11,98,839.602567
11,99,911.703676
12,13,64.404238
12,14,173.469602
12,15,206.497050
12,16,324.081476
12,17,389.850733
12,18,440.806953
12,19,506.741847
12,20,156.670116
12,21,112.438146
12,22,66.790820
12,23,111.498220
12,24,185.445979
12,25,249.497451
12,26,295.272896
12,27,398.889325
12,28,455.841477
12,29,531.966635
12,30,200.314594
12,31,161.491164
12,32,127.992238
12,33,166.770095
12,34,222.500750
12,35,271.949323
12,36,342.771240
12,37,403.760274
12,38,486.587502
12,39,561.853721
12,40,252.392335
12,41,228.274133
12,42,221.232749
12,43,237.942306
12,44,263.749419
12,45,324.291619
12,46,402.063125
12,47,459.908116
12,48,533.353362
12,49,588.599002
12,50,348.972782
12,51,277.113546
12,52,308.690800
12,53,335.425850
12,54,340.844542
12,55,393.391944
12,56,432.633770
12,57,481.309834
12,58,534.932523
12,59,615.669965
12,60,383.033014
12,61,353.539569
12,62,393.092684
12,63,369.540592
12,64,387.970691
12,65,455.813708
12,66,491.999867
12,67,566.451389
12,68,617.157921
12,69,677.812659
12,70,447.821212
12,71,449.842908
12,72,471.905717
12,73,457.889743
12,74,501.172274
12,75,522.319665
12,76,559.331748
12,77,624.208686
12,78,664.270420
12,79,730.527913
12,80,516.673207
12,81,517.094296
12,82,530.026594
12,83,553.947607
12,84,571.342177
12,85,604.109689
12,86,620.059166
12,87,692.585378
12,88,752.885087
12,89,781.450391
12,90,609.383173
12,91,573.766732
12,92,614.088074
12,93,614.229647
12,94,656.092850
12,95,659.804327
12,96,704.584580
12,97,760.231824
12,98,782.783037
12,99,851.385249
13,14,109.858233
13,15,142.814308
13,16,260.202075
13,17,325.723887
13,18,376.404352
13,19,442.514425
13,20,218.145509
13,21,167.427186
13,22,100.519314
13,23,77.521745
13,24,128.645958
13,25,189.341770
13,26,234.528341
13,27,336.865971
13,28,392.814709
13,29,468.386776
13,30,251.682270
13,31,198.296561
13,32,136.867003
13,33,153.489005
13,34,178.231926
13,35,225.659072
13,36,286.115436
13,37,346.214065
13,38,425.760519
13,39,501.316847
13,40,290.313850
13,41,249.724276
13,42,224.291877
13,43,225.232119
13,44,230.703010
13,45,285.005638
13,46,350.583312
13,47,408.255842
13,48,477.556259
13,49,531.996127
13,50,382.737505
13,51,299.029311
13,52,313.716988
13,53,321.189028
13,54,315.475534
13,55,360.431287
13,56,390.152067
13,57,433.368255
13,58,483.249613
13,59,561.514823
13,60,408.848646
13,61,369.120132
13,62,394.039340
13,63,359.319486
13,64,368.654298
13,65,426.264688
13,66,454.359343
13,67,520.954385
13,68,571.357066
13,69,625.835256
13,70,470.005069
13,71,459.053905
13,72,470.727761
13,73,452.175895
13,74,482.530658
13,75,492.537013
13,76,526.721048
13,77,585.437515
13,78,619.880070
13,79,685.022008
13,80,538.124664
13,81,528.183876
13,82,531.150660
13,83,546.862054
13,84,553.159005
13,85,581.007975
13,86,587.639412
13,87,655.399216
13,88,711.843608
13,89,738.114920
13,90,627.232036
13,91,581.158451
13,92,612.796693
13,93,605.768441
13,94,639.747093
13,95,639.663083
13,96,676.970132
13,97,726.715649
13,98,744.086295
13,99,809.860955
14,15,33.027504
14,16,150.631786
14,17,216.629529
14,18,269.323691
14,19,333.677751
14,20,320.556405
14,21,264.041395
14,22,188.970526
14,23,104.960217
14,24,50.894924
14,25,85.779457
14,26,128.112054
14,27,227.815849
14,28,283.006866
14,29,358.580598
14,30,339.645773
14,31,272.409666
14,32,190.207754
14,33,169.784322
14,34,122.077401
14,35,154.916930
14,36,186.697999
14,37,243.816995
14,38,317.815267
14,39,393.526334
14,40,358.203902
14,41,298.126593
14,42,249.178394
14,43,224.022222
14,44,189.263529
14,45,223.245799
14,46,259.589833
14,47,315.465564
14,48,376.633652
14,49,429.443873
14,50,439.797046
14,51,343.402313
14,52,330.663013
14,53,304.599762
14,54,278.796738
14,55,305.672736
14,56,315.372822
14,57,346.877816
14,58,389.152080
14,59,462.548794
14,60,452.493826
14,61,398.768077
14,62,398.235953
14,63,346.681416
14,64,339.039771
14,65,374.493893
14,66,386.442282
14,67,437.119723
14,68,486.215734
14,69,529.861746
14,70,505.387243
14,71,473.682546
14,72,467.378294
14,73,441.881555
14,74,448.213598
14,75,437.798313
14,76,465.865281
14,77,512.335932
14,78,536.529637
14,79,599.107225
14,80,570.092668
14,81,543.317323
14,82,529.403077
14,83,530.516617
14,84,517.253801
14,85,535.675107
14,86,525.693703
14,87,583.945959
14,88,633.125559
14,89,655.320765
14,90,650.950300
14,91,588.480485
14,92,604.517611
14,93,585.349074
14,94,604.847581
14,95,598.161198
14,96,621.756499
14,97,660.600570
14,98,668.979677
14,99,729.468018
15,16,117.612918
15,17,183.696891
15,18,236.987692
15,19,300.774250
15,20,352.813000
15,21,295.661196
15,22,220.200794
15,23,132.574108
15,24,57.988162
15,25,61.103669
15,26,98.817380
15,27,195.740187
15,28,250.208128
15,29,325.581941
15,30,369.490909
15,31,300.350873
15,32,216.298089
15,33,189.365113
15,34,123.088711
15,35,146.037669
15,36,161.113104
15,37,215.784137
15,38,286.340298
15,39,362.049415
15,40,384.007774
15,41,320.516272
15,42,267.285607
15,43,236.241664
15,44,190.371964
15,45,214.832770
15,46,237.240928
15,47,291.621359
15,48,348.634430
15,49,400.524538
15,50,462.520114
15,51,364.161217
15,52,344.780247
15,53,309.653227
15,54,277.965079
15,55,297.690512
15,56,299.359402
15,57,325.547193
15,58,364.202773
15,59,435.168032
15,60,471.879611
15,61,415.164318
15,62,407.723276
15,63,352.046599
15,64,339.175847
15,65,366.412470
15,66,372.221432
15,67,416.204047
15,68,464.505942
15,69,503.583474
15,70,522.247630
15,71,485.228694
15,72,473.829477
15,73,446.537329
15,74,445.198935
15,75,427.892369
15,76,453.501349
15,77,495.133503
15,78,515.298992
15,79,576.660437
15,80,585.616686
15,81,554.415899
15,82,535.753261
15,83,532.447856
15,84,513.058646
15,85,528.191308
15,86,512.495891
15,87,566.987306
15,88,613.295477
15,89,633.898785
15,90,663.785749
15,91,597.044023
15,92,608.376014
